sep=;
Date;Korkein;Matalin;Closing price;Keskimääräinen;Kok.volyymi;Liikevaihto;
2022-11-08;10819,13;10707,99;10805,25;;1;;
2022-11-07;10723,59;10568,65;10722,43;;1;;
2022-11-04;10672,98;10414,73;10613,41;;1;;
2022-11-03;10393,73;10326,59;10357,51;;1;;
2022-11-02;10484,99;10388,91;10402,30;;1;;
2022-11-01;10584,81;10450,26;10450,26;;1;;
2022-10-31;10410,61;10314,46;10396,02;;1;;
2022-10-28;10386,47;10294,30;10366,42;;1;;
2022-10-27;10534,86;10366,10;10485,87;;1;;
2022-10-26;10569,56;10455,96;10567,62;;1;;
2022-10-25;10485,64;10327,33;10473,98;;1;;
2022-10-24;10411,09;10206,51;10357,55;;1;;
2022-10-21;10290,66;10106,28;10252,39;;1;;
2022-10-20;10363,22;10179,84;10258,09;;1;;
2022-10-19;10469,55;10302,31;10347,37;;1;;
2022-10-18;10502,79;10389,10;10401,48;;1;;
2022-10-17;10362,57;10129,72;10317,49;;1;;
2022-10-14;10235,96;10063,67;10119,53;;1;;
2022-10-12;10003,56;9894,50;9922,03;;1;;
2022-10-11;9958,72;9827,84;9940,18;;1;;
2022-10-10;10041,33;9873,11;9939,67;;1;;
2022-10-07;10182,97;9946,88;9969,16;;1;;
2022-10-06;10288,20;10142,73;10169,15;;1;;
2022-10-05;10340,53;10171,59;10216,67;;1;;
2022-10-04;10348,13;10165,16;10348,13;;1;;
2022-09-30;9940,00;9796,29;9934,81;;1;;
2022-09-29;9915,83;9683,82;9756,93;;1;;
2022-09-28;9974,04;9705,62;9974,04;;1;;
2022-09-27;10044,29;9931,47;9942,32;;1;;
2022-09-26;9989,84;9829,76;9914,03;;1;;
2022-09-23;10182,52;9871,66;9967,99;;1;;
2022-09-22;10297,93;10146,81;10167,55;;1;;
2022-09-21;10309,92;10109,35;10285,05;;1;;
2022-09-20;10371,18;10135,89;10162,66;;1;;
2022-09-19;10341,74;10151,74;10281,12;;1;;
2022-09-16;10447,45;10358,79;10364,55;;1;;
2022-09-15;10569,87;10467,40;10494,53;;1;;
2022-09-14;10622,97;10446,90;10489,05;;1;;
2022-09-13;10861,91;10609,01;10609,01;;1;;
2022-09-12;10830,01;10651,03;10792,82;;1;;
2022-09-09;10666,78;10518,93;10640,86;;1;;
2022-09-08;10550,22;10390,11;10473,98;;1;;
2022-09-07;10469,50;10333,87;10454,04;;1;;
2022-09-06;10541,80;10358,11;10419,43;;1;;
2022-09-05;10483,38;10371,02;10419,99;;1;;
2022-09-02;10608,30;10438,65;10598,49;;1;;
2022-09-01;10625,81;10411,51;10411,51;;1;;
2022-08-31;10754,45;10597,03;10678,87;;1;;
2022-08-30;10841,66;10667,43;10688,15;;1;;
2022-08-29;10719,20;10548,22;10689,79;;1;;
2022-08-26;10976,92;10787,72;10787,72;;1;;
2022-08-25;10947,52;10859,14;10924,70;;1;;
2022-08-24;10891,54;10791,03;10875,45;;1;;
2022-08-23;10889,12;10787,11;10874,74;;1;;
2022-08-22;10952,67;10773,54;10825,82;;1;;
2022-08-19;11057,50;10962,13;10962,13;;1;;
2022-08-18;11059,78;10954,66;11044,76;;1;;
2022-08-17;11187,75;10974,51;10981,68;;1;;
2022-08-16;11181,91;11075,67;11172,65;;1;;
2022-08-15;11128,69;11018,18;11045,57;;1;;
2022-08-12;11134,62;11084,53;11084,53;;1;;
2022-08-11;11129,48;11071,18;11086,93;;1;;
2022-08-10;11059,17;10837,28;11041,04;;1;;
2022-08-09;10978,67;10876,43;10895,24;;1;;
2022-08-08;10997,35;10922,62;10957,65;;1;;
2022-08-05;10992,55;10867,48;10890,63;;1;;
2022-08-04;10985,98;10909,90;10954,08;;1;;
2022-08-03;10925,05;10804,80;10881,60;;1;;
2022-08-02;10919,12;10796,41;10808,09;;1;;
2022-08-01;11062,07;10944,12;10961,84;;1;;
2022-07-29;10998,21;10831,54;10974,88;;1;;
2022-07-28;10815,60;10631,99;10815,60;;1;;
2022-07-27;10627,00;10548,83;10558,87;;1;;
2022-07-26;10676,14;10554,80;10584,33;;1;;
2022-07-25;10663,38;10540,58;10640,06;;1;;
2022-07-22;10740,32;10586,95;10630,80;;1;;
2022-07-21;10770,68;10600,89;10735,54;;1;;
2022-07-20;10683,09;10569,97;10599,93;;1;;
2022-07-19;10594,29;10372,17;10560,90;;1;;
2022-07-18;10481,17;10373,72;10440,55;;1;;
2022-07-15;10323,30;10157,20;10314,86;;1;;
2022-07-14;10284,45;10096,58;10161,55;;1;;
2022-07-13;10405,00;10233,52;10301,60;;1;;
2022-07-12;10424,31;10238,06;10424,31;;1;;
2022-07-11;10409,85;10315,10;10353,98;;1;;
2022-07-08;10505,38;10367,88;10500,70;;1;;
2022-07-07;10432,38;10277,41;10426,79;;1;;
2022-07-06;10279,87;10186,24;10187,99;;1;;
2022-07-05;10432,93;10108,98;10119,68;;1;;
2022-07-04;10461,88;10309,09;10309,09;;1;;
2022-07-01;10375,23;10140,62;10310,00;;1;;
2022-06-30;10302,12;10156,27;10217,79;;1;;
2022-06-29;10548,07;10440,79;10440,86;;1;;
2022-06-28;10657,82;10572,74;10590,46;;1;;
2022-06-27;10552,66;10358,42;10533,62;;1;;
2022-06-23;10484,52;10170,44;10216,42;;1;;
2022-06-22;10566,63;10395,74;10516,04;;1;;
2022-06-21;10745,19;10604,87;10635,27;;1;;
2022-06-20;10569,15;10355,58;10569,15;;1;;
2022-06-17;10499,01;10260,95;10364,85;;1;;
2022-06-16;10594,51;10223,27;10294,42;;1;;
2022-06-15;10697,51;10541,40;10616,60;;1;;
2022-06-14;10649,87;10417,90;10508,52;;1;;
2022-06-13;10685,38;10465,57;10492,21;;1;;
2022-06-10;10993,98;10751,81;10776,51;;1;;
2022-06-09;11141,75;10995,34;11043,09;;1;;
2022-06-08;11174,55;11095,61;11157,39;;1;;
2022-06-07;11155,45;11059,79;11145,03;;1;;
2022-06-06;11229,07;11074,53;11197,18;;1;;
2022-06-03;11130,69;11064,78;11067,25;;1;;
2022-06-02;11052,68;10933,22;11036,51;;1;;
2022-06-01;11106,31;10955,56;10961,60;;1;;
2022-05-31;11226,61;11041,58;11041,58;;1;;
2022-05-30;11361,11;11213,42;11252,99;;1;;
2022-05-27;11230,92;11074,37;11229,08;;1;;
2022-05-25;11042,78;10883,79;11040,64;;1;;
2022-05-24;10984,84;10868,50;10899,66;;1;;
2022-05-23;10970,57;10838,77;10961,64;;1;;
2022-05-20;10999,02;10798,12;10825,90;;1;;
2022-05-19;10766,74;10602,63;10756,51;;1;;
2022-05-18;11111,07;10895,76;10911,10;;1;;
2022-05-17;11112,71;10958,48;11031,28;;1;;
2022-05-16;10940,37;10782,82;10886,17;;1;;
2022-05-13;10888,46;10699,45;10861,34;;1;;
2022-05-12;10639,18;10449,50;10622,06;;1;;
2022-05-11;10646,18;10476,12;10640,12;;1;;
2022-05-10;10571,32;10420,52;10430,64;;1;;
2022-05-09;10726,49;10371,42;10371,42;;1;;
2022-05-06;10877,87;10692,74;10777,87;;1;;
2022-05-05;11180,82;10886,67;10891,29;;1;;
2022-05-04;11164,54;11019,46;11029,19;;1;;
2022-05-03;11134,07;11053,10;11130,99;;1;;
2022-05-02;11109,62;10402,02;10997,10;;1;;
2022-04-29;11212,84;11107,66;11142,75;;1;;
2022-04-28;11342,38;11034,46;11140,48;;1;;
2022-04-27;11237,71;10987,71;11224,49;;1;;
2022-04-26;11302,31;11080,56;11082,73;;1;;
2022-04-25;11210,81;11012,32;11072,31;;1;;
2022-04-22;11461,45;11326,18;11333,26;;1;;
2022-04-21;11568,89;11452,18;11510,32;;1;;
2022-04-20;11465,90;11303,32;11388,66;;1;;
2022-04-19;11298,20;11194,34;11280,85;;1;;
2022-04-13;11222,25;11143,15;11173,72;;1;;
2022-04-12;11224,75;11044,52;11190,20;;1;;
2022-04-11;11322,57;11155,45;11159,81;;1;;
2022-04-08;11341,65;11170,51;11330,12;;1;;
2022-04-07;11281,36;11125,77;11127,21;;1;;
2022-04-06;11354,92;11077,52;11178,53;;1;;
