sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-10-18;14,20;14,35;14,20;14,50;14,20;14,40;14,311;718;10275,5;10;
2022-10-17;13,90;14,20;14,15;14,25;13,90;14,20;14,169;636;9011,45;15;
2022-10-14;13,90;14,15;14,15;14,15;13,90;14,15;14,009;3892;54521,45;31;
2022-10-13;14,05;14,35;14,75;14,75;13,95;13,95;14,306;697;9971,4;9;
2022-10-12;14,40;14,50;14,75;14,75;14,50;14,50;14,653;195;2857,25;4;
2022-10-11;14,90;15,00;14,90;15,00;14,80;14,90;14,929;6387;95411,7;25;
2022-10-10;14,90;15,05;14,95;15,25;14,95;15,00;15,075;31438;473916,05;14;
2022-10-07;14,85;15,15;14,80;15,15;14,80;14,85;14,983;1651;24739,85;14;
2022-10-06;14,80;15,15;15,20;15,20;15,15;15,15;15,195;445;6761,75;5;
2022-10-05;15,10;15,15;14,85;15,15;14,85;15,15;14,975;4241;63510,6;40;
2022-10-04;14,40;14,70;14,00;14,70;14,00;14,70;14,191;24895;353291,75;30;
2022-10-03;13,65;13,95;13,45;13,95;13,45;13,95;13,786;1791;24689,8;19;
2022-09-30;13,45;13,70;13,55;13,95;13,00;13,70;13,528;2874;38879,15;37;
2022-09-29;13,50;13,80;13,45;13,70;13,25;13,55;13,494;6014;81151,05;35;
2022-09-28;13,50;13,70;13,75;13,75;13,50;13,60;13,604;2804;38146,5;17;
2022-09-27;13,60;13,75;13,80;13,85;13,60;13,60;13,667;584;7981,75;7;
2022-09-26;13,70;13,90;14,15;14,15;13,70;13,95;13,789;615;8480,05;10;
2022-09-23;13,65;14,00;13,75;14,00;13,65;14,00;13,972;22656;316549,65;39;
2022-09-22;13,70;13,85;13,70;14,40;13,70;13,95;13,989;4378;61242,8;37;
2022-09-21;13,70;14,00;13,65;14,25;13,65;14,00;13,931;3868;53885,6;39;
2022-09-20;13,65;13,70;13,90;13,90;13,65;13,65;13,721;825;11319,45;13;
2022-09-19;13,75;13,95;13,70;14,05;13,70;14,05;13,773;2194;30217,1;17;
2022-09-16;13,85;14,00;13,95;14,00;13,90;14,00;13,955;1072;14960,15;18;
2022-09-15;13,95;14,00;14,05;14,05;13,90;13,95;13,988;1647;23037,55;26;
2022-09-14;14,00;14,35;14,40;14,40;14,00;14,35;14,108;344;4853,1;6;
2022-09-13;14,25;14,35;14,60;14,60;13,95;14,30;14,249;37633;536220,3;31;
2022-09-12;14,30;14,55;14,25;14,65;14,25;14,65;14,305;965;13804,6;15;
2022-09-09;14,15;14,35;14,30;14,60;14,25;14,25;14,348;1376;19742,8;15;
2022-09-08;14,10;14,35;14,20;14,40;14,00;14,10;14,145;816;11542,05;16;
2022-09-07;14,30;14,45;14,30;14,60;14,30;14,45;14,384;280;4027,55;9;
2022-09-06;14,30;14,65;14,50;14,60;14,25;14,60;14,352;355;5095,1;9;
2022-09-05;14,25;14,45;14,45;14,50;14,10;14,25;14,32;1388;19876,25;26;
2022-09-02;14,50;14,75;14,60;14,85;14,50;14,75;14,503;31008;449702,1;24;
2022-09-01;14,50;14,60;15,10;15,10;14,50;14,50;14,743;1906;28099,5;18;
2022-08-31;15,00;15,10;15,15;15,15;15,00;15,00;15,042;652;9807,4;12;
2022-08-30;15,05;15,15;15,00;15,15;15,00;15,05;15,079;2015;30383,2;14;
2022-08-29;15,00;15,15;15,55;15,65;15,00;15,00;15,321;11452;175459,1;67;
2022-08-26;15,50;15,65;15,80;15,90;15,50;15,50;15,613;839;13099,35;18;
2022-08-25;15,50;15,65;15,55;15,80;15,50;15,50;15,537;1415;21984,8;18;
2022-08-24;15,85;15,90;15,90;16,15;15,80;15,90;16,061;11153;179132,45;56;
2022-08-23;15,70;16,05;16,05;16,20;15,60;15,60;16,079;1592;25597,75;38;
2022-08-22;15,95;16,05;15,90;16,05;15,55;16,05;15,88;4558;72379,9;58;
2022-08-19;15,85;15,90;16,10;16,10;15,65;15,85;15,749;4019;63293,1;49;
2022-08-18;15,80;15,85;15,50;16,00;15,50;15,85;15,768;7617;120105,65;79;
2022-08-17;15,20;15,45;15,25;15,50;15,20;15,20;15,373;972;14942,75;18;
2022-08-16;15,45;15,50;15,50;15,50;15,45;15,50;15,499;2377;36841,2;24;
2022-08-15;15,40;15,50;15,10;15,65;15,10;15,50;15,401;2866;44137,75;39;
2022-08-12;15,10;15,20;15,10;15,35;15,10;15,10;15,14;866;13111,55;18;
2022-08-11;15,00;15,15;15,50;15,60;14,85;15,00;15,116;3200;48372,55;29;
2022-08-10;15,05;15,45;15,20;15,65;15,20;15,45;15,385;1379;21215,8;20;
2022-08-09;15,20;15,25;15,50;15,85;15,25;15,25;15,488;2460;38101,5;17;
2022-08-08;15,35;15,50;15,30;15,60;15,30;15,55;15,336;4251;65193,15;42;
2022-08-05;15,30;15,55;15,40;15,85;15,30;15,30;15,421;3397;52384,9;37;
2022-08-04;15,30;15,40;15,30;15,45;15,05;15,40;15,315;3659;56035,65;30;
