sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-03-30;1,25;1,26;1,25;1,30;1,22;1,255;1,254;120159;150644,1;164;
2022-03-29;1,165;1,18;1,12;1,225;1,12;1,135;1,178;65920;77647,7;132;
2022-03-28;1,095;1,12;1,08;1,15;0,958;1,10;1,038;330394;342815,61;374;
2022-03-25;1,18;1,185;1,25;1,25;1,18;1,18;1,203;77005;92599,05;128;
2022-03-24;1,275;1,28;1,295;1,345;1,25;1,25;1,282;30587;39207,62;67;
2022-03-23;1,27;1,30;1,285;1,30;1,185;1,295;1,241;132664;164575,91;184;
2022-03-22;1,30;1,31;1,35;1,35;1,29;1,31;1,313;69155;90784,18;110;
2022-03-21;1,35;1,37;1,425;1,425;1,315;1,35;1,354;52573;71175,1;118;
2022-03-18;1,43;1,45;1,385;1,46;1,38;1,41;1,436;80999;116281,01;110;
2022-03-17;1,35;1,43;1,46;1,535;1,34;1,35;1,474;190532;280795,87;228;
2022-03-16;1,43;1,445;1,40;1,455;1,40;1,43;1,429;118531;169378,2;172;
2022-03-15;1,39;1,415;1,385;1,48;1,385;1,39;1,434;181602;260468,1;276;
2022-03-14;1,385;1,395;1,22;1,405;1,22;1,385;1,332;168731;224680,72;280;
2022-03-11;1,185;1,20;1,06;1,21;1,06;1,185;1,164;126572;147369,49;180;
2022-03-10;1,095;1,10;1,15;1,15;1,065;1,065;1,102;81561;89847,47;119;
2022-03-09;1,065;1,08;0,974;1,08;0,974;1,06;1,044;110436;115323;153;
2022-03-08;0,98;0,994;0,962;1,03;0,962;0,972;0,992;108671;107825,89;174;
2022-03-07;0,932;0,964;0,988;1,01;0,88;0,962;0,948;215782;204625,14;289;
2022-03-04;0,99;1,01;1,035;1,045;0,978;0,992;1,004;221675;222593,56;385;
2022-03-03;1,085;1,10;1,10;1,225;1,04;1,10;1,153;238747;275313,93;322;
2022-03-02;0,984;0,998;1,03;1,10;0,95;0,962;1,02;215864;220107,02;252;
2022-03-01;1,02;1,03;1,18;1,18;1,005;1,005;1,091;331745;362039,7;243;
2022-02-28;1,17;1,18;1,07;1,195;1,07;1,18;1,129;89675;101261,84;200;
2022-02-25;1,23;1,26;1,08;1,335;1,08;1,26;1,174;216023;253665,98;342;
2022-02-24;1,09;1,12;1,10;1,23;1,02;1,125;1,103;287476;317028,14;339;
2022-02-23;1,285;1,30;1,25;1,315;1,215;1,285;1,265;66884;84582,51;105;
2022-02-22;1,265;1,28;1,315;1,35;1,055;1,265;1,174;365131;428588,51;403;
2022-02-21;1,375;1,385;1,415;1,455;1,37;1,37;1,40;49748;69620,24;84;
2022-02-18;1,46;1,48;1,465;1,50;1,425;1,455;1,458;39093;56993,43;87;
2022-02-17;1,46;1,50;1,60;1,60;1,455;1,465;1,552;36194;56170,67;59;
2022-02-16;1,555;1,58;1,56;1,60;1,55;1,58;1,578;34121;53841,35;40;
2022-02-15;1,56;1,59;1,50;1,60;1,50;1,555;1,551;61788;95810,34;108;
2022-02-14;1,50;1,515;1,595;1,595;1,445;1,495;1,475;119270;175890,5;249;
2022-02-11;1,585;1,61;1,58;1,60;1,50;1,60;1,538;38404;59075,7;71;
2022-02-10;1,575;1,61;1,635;1,64;1,535;1,58;1,602;31293;50122,48;50;
2022-02-09;1,62;1,635;1,575;1,635;1,575;1,635;1,608;9778;15720,57;47;
2022-02-08;1,58;1,60;1,635;1,66;1,50;1,575;1,596;32997;52654,94;98;
2022-02-07;1,64;1,66;1,73;1,73;1,635;1,635;1,652;15701;25936,78;38;
2022-02-04;1,615;1,65;1,67;1,68;1,565;1,67;1,659;28252;46857,92;62;
2022-02-03;1,675;1,70;1,72;1,72;1,66;1,675;1,688;18326;30934,87;44;
2022-02-02;1,70;1,71;1,70;1,74;1,70;1,70;1,716;25451;43677;93;
2022-02-01;1,68;1,685;1,725;1,77;1,68;1,68;1,723;44335;76405,93;99;
2022-01-31;1,71;1,725;1,62;1,77;1,62;1,73;1,698;50932;86481,99;135;
2022-01-28;1,63;1,64;1,71;1,765;1,615;1,635;1,659;29408;48785,33;71;
2022-01-27;1,715;1,76;1,705;1,78;1,705;1,705;1,738;35356;61439,1;98;
2022-01-26;1,715;1,72;1,66;1,815;1,66;1,70;1,74;106603;185475,58;193;
2022-01-25;1,65;1,66;1,455;1,825;1,455;1,645;1,681;186809;313955,87;397;
2022-01-24;1,455;1,475;1,50;1,54;1,425;1,445;1,472;138532;203879,05;253;
2022-01-21;1,605;1,62;1,695;1,695;1,545;1,595;1,603;178762;286561,37;326;
2022-01-20;1,72;1,74;1,70;1,735;1,675;1,725;1,708;34067;58181,74;76;
2022-01-19;1,70;1,715;1,75;1,75;1,64;1,70;1,689;107465;181539,45;281;
2022-01-18;1,755;1,77;1,83;1,83;1,74;1,755;1,766;57519;101558,95;204;
2022-01-17;1,83;1,835;1,86;1,875;1,825;1,83;1,845;61012;112544,01;185;
2022-01-14;1,87;1,885;1,94;1,94;1,86;1,865;1,886;59936;113039,11;213;
2022-01-13;1,95;1,955;2,00;2,00;1,95;1,95;1,963;29140;57191,54;67;
2022-01-12;1,95;1,97;1,985;2,00;1,95;1,97;1,985;22553;44776,64;102;
2022-01-11;1,95;1,97;2,00;2,00;1,89;1,94;1,948;44983;87641;119;
2022-01-10;1,93;1,95;2,00;2,00;1,89;1,93;1,943;74815;145358,93;193;
2022-01-07;2,01;2,02;2,02;2,03;1,99;2,00;2,009;33328;66943,49;122;
2022-01-05;2,02;2,04;2,04;2,06;2,02;2,02;2,041;48648;99303,07;111;
